#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
315,Kelvin Cato,DET,27,12.3,3.6,1.3,3.1,0.429,0.0,0.0,0.0,1.0,1.3,0.743,0.7,1.9,2.6,0.1,0.2,0.4,0.7,1.9
316,Will Bynum,GSW,15,10.8,3.6,1.4,3.5,0.404,0.1,0.6,0.222,0.7,1.1,0.625,0.2,0.6,0.8,1.3,0.5,0.0,0.9,0.7
317,Jason Collins,NJN,71,26.7,3.6,1.5,3.7,0.397,0.0,0.2,0.25,0.6,1.2,0.512,1.3,3.5,4.8,1.0,0.6,0.6,0.9,3.5
318,Royal Ivey,ATL,73,13.4,3.6,1.6,3.6,0.439,0.1,0.1,0.4,0.3,0.5,0.727,0.4,0.9,1.3,1.0,0.3,0.1,0.3,2.0
319,Pape Sow,TOR,42,14.0,3.5,1.3,2.9,0.431,0.0,0.0,0.0,1.0,1.4,0.719,1.3,2.2,3.5,0.2,0.5,0.5,0.7,2.8
320,Linas Kleiza,DEN,61,8.5,3.5,1.3,2.8,0.445,0.0,0.2,0.154,0.9,1.3,0.704,0.6,1.3,1.9,0.2,0.2,0.2,0.3,1.4
321,Zoran Planinic,NJN,55,10.8,3.5,1.2,3.3,0.361,0.2,1.0,0.232,0.8,1.2,0.697,0.3,1.1,1.3,1.0,0.4,0.1,0.8,1.7
322,Brian Cardinal,MEM,36,11.1,3.4,1.3,3.1,0.414,0.4,0.8,0.448,0.5,0.8,0.704,0.3,1.2,1.5,0.9,0.6,0.0,0.8,1.8
323,James Singleton,LAC,59,12.8,3.4,1.3,2.6,0.51,0.2,0.3,0.5,0.7,0.8,0.78,1.1,2.3,3.3,0.5,0.3,0.4,0.5,1.6
324,Lamond Murray,NJN,57,10.1,3.4,1.3,3.2,0.398,0.5,1.4,0.346,0.4,0.7,0.625,0.5,1.8,2.3,0.2,0.3,0.1,0.4,1.2
325,C.J. Miles,UTA,23,8.8,3.4,1.2,3.3,0.368,0.2,0.9,0.25,0.8,1.0,0.75,0.8,0.9,1.7,0.7,0.3,0.1,0.4,0.9
326,Jacque Vaughn,NJN,80,15.4,3.4,1.3,3.1,0.437,0.0,0.1,0.167,0.7,1.0,0.728,0.2,0.9,1.1,1.5,0.5,0.0,0.7,1.8
327,Corliss Williamson,SAC,37,9.8,3.4,1.2,2.8,0.417,0.1,0.1,1.0,1.0,1.3,0.776,0.6,1.2,1.8,0.4,0.2,0.1,0.8,1.5
328,Scott Padgett,NJN,62,11.6,3.4,1.1,3.2,0.353,0.7,2.0,0.347,0.4,0.5,0.794,0.9,1.8,2.7,0.7,0.5,0.2,0.3,1.5
