Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Dirk Nowitzki,PF,7-0,245,23,DAL,76,3,DJK Wurzburg (Germany),1998 Rnd 1 Pick 9,Germany
Jermaine O'Neal,FC,6-11,235,23,IND,72,5,Eau Claire High School (South Carolina),1996 Rnd 1 Pick 17,United States
Shaquille O'Neal,C,7-1,325,29,LAL,67,9,LSU,1992 Rnd 1 Pick 1,United States
Charles Oakley,PF,6-8,225,38,CHI,57,16,Virginia Union,1985 Rnd 1 Pick 9,United States
Lamar Odom,PF,6-10,230,22,LAC,29,2,Rhode Island,1999 Rnd 1 Pick 4,United States
Hakeem Olajuwon,C,7-0,255,39,TOR,61,17,Houston,1984 Rnd 1 Pick 1,Nigeria United States
Dean Oliver,PG,5-11,180,23,GSW,20,0,Iowa,"2001 NBA Draft, Undrafted",United States
Kevin Ollie,G,6-4,195,29,"CHI, IND",81,5,Connecticut,"1995 NBA Draft, Undrafted",United States
Michael Olowokandi,C,7-0,270,26,LAC,80,3,Pacific,1998 Rnd 1 Pick 1,Nigeria England
Greg Ostertag,C,7-2,280,28,UTA,74,6,Kansas,1995 Rnd 1 Pick 28,United States
Bo Outlaw,F,6-8,210,30,"ORL, PHX",83,8,Houston,"1993 NBA Draft, Undrafted",United States
Doug Overton,SG,6-3,190,32,LAC,18,10,La Salle,1991 Rnd 2 Pick 13,United States
Olumide Oyedeji,C,6-11,240,20,SEA,36,1,DJK Wurzburg (Germany),2000 Rnd 2 Pick 13,Nigeria
Robert Pack,SG,6-2,180,33,MIN,16,10,USC,"1991 NBA Draft, Undrafted",United States
Scott Padgett,F,6-9,240,25,UTA,75,2,Kentucky,1999 Rnd 1 Pick 28,United States
Milt Palacio,G,6-3,195,24,"BOS, PHX",69,2,Colorado State,"1999 NBA Draft, Undrafted",United States Norway
Tony Parker,G,6-2,185,19,SAS,77,0,Paris Basket Racing (France),2001 Rnd 1 Pick 28,France
Cherokee Parks,C,6-11,235,29,SAS,42,6,Duke,1995 Rnd 1 Pick 12,United States
Ruben Patterson,F-G,6-5,223,26,POR,75,3,Cincinnati,1998 Rnd 2 Pick 2,United States
Gary Payton,G,6-4,180,33,SEA,82,11,Oregon State,1990 Rnd 1 Pick 2,United States
Anthony Peeler,G,6-4,208,32,MIN,82,9,Missouri,1992 Rnd 1 Pick 15,United States
Mike Penberthy,SG,6-3,185,27,LAL,3,1,Master's College,"2000 NBA Draft, Undrafted",United States
Elliot Perry,PG,6-0,150,32,MEM,2,10,Memphis,1991 Rnd 2 Pick 10,United States
